OBJECTID,DESCRIPTION,NAME,NAME_FR,WARD_NUM,WARD_EN,WARD_FR,COUNCILLOR,WARD_NAME_EN,WARD_NAME_FR,LINK_EN,LINK_FR,LINK_LABEL_EN,LINK_LABEL_FR,Shape_Length,Shape_Area
1,KANATA SOUTH - Allan Hubley,Ward 23,Quartier 23,23,KANATA SOUTH,KANATA-SUD,Allan Hubley,Kanata South,Kanata-Sud,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/allan-hubley,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/allan-hubley,Councillor,Conseiller,28247.3778750116,16418739.5882048
2,BAY - Theresa Kavanagh,Ward 7,Quartier 7,7,BAY,BAIE,Theresa Kavanagh,Bay,Baie,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/theresa-kavanagh,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/theresa-kavanagh,Councillor,Conseiller,56522.1980185415,64174613.7887353
3,OSGOODE - George Darouze,Ward 20,Quartier 20,20,OSGOODE,OSGOODE,George Darouze,Osgoode,Osgoode,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/george-darouze,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/george-darouze,Councillor,Conseiller,150328.804707823,463561580.894512
4,BEACON HILL-CYRVILLE - Tim Tierney,Ward 11,Quartier 11,11,BEACON HILL-CYRVILLE,BEACON HILL-CYRVILLE,Tim Tierney,Beacon Hill-Cyrville,Beacon Hill-Cyrville,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/tim-tierney,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/tim-tierney,Councillor,Conseiller,37073.0287380307,19598778.3748411
5,COLLEGE - Rick Chiarelli,Ward 8,Quartier 8,8,COLLEGE,COLLÈGE,Rick Chiarelli,College,Collège,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/rick-chiarelli,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/rick-chiarelli,Councillor,Conseiller,56964.334164269,46077373.4467507
6,GLOUCESTER-SOUTH NEPEAN - Carol Anne Meehan,Ward 22,Quartier 22,22,GLOUCESTER-SOUTH NEPEAN,GLOUCESTER-NEPEAN-SUD,Carol Anne Meehan,Gloucester-South Nepean,Gloucester-Nepean-Sud,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/carol-anne-meehan,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/carol-anne-meehan,Councillor,Conseiller,64735.5308883414,37013497.1196561
7,KANATA NORTH - Cathy Curry,Ward 4,Quartier 4,4,KANATA NORTH,KANATA-NORD,Cathy Curry,Kanata North,Kanata-Nord,https://ottawa.ca/en/city-hall/mayor-and-city-councillors/cathy-curry,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/cathy-curry,Councillor,Conseillère ,36980.9549017345,24235080.5952797
8,KNOXDALE-MERIVALE - Keith Egli,Ward 9,Quartier 9,9,KNOXDALE-MERIVALE,KNOXDALE-MERIVALE,Keith Egli,Knoxdale-Merivale,Knoxdale-Merivale,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/keith-egli,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/keith-egli,Councillor,Conseiller,51963.4419206226,47513023.6583585
9,RIVER - Riley Brockington,Ward 16,Quartier 16,16,RIVER,RIVIÈRE,Riley Brockington,River,Rivière,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/riley-brockington,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/riley-brockington,Councillor,Conseillère ,45897.8872201349,26892629.9397612
10,CAPITAL - Shawn Menard,Ward 17,Quartier 17,17,CAPITAL,CAPITALE,Shawn Menard,Capital,Capitale,http://ottawa.ca/en/city-hall/mayor-and-city-councillors/shawn-menard,http://ottawa.ca/fr/hotel-de-ville/maire-et-conseillers-municipaux/shawn-menard,Councillor,Conseiller,27408.3423357902,10961789.0864569
